id;fecha_inicio;fecha_fin;disponible
1;2024-09-18T08:21:47;2024-09-17T18:32:18;false
2;2024-09-17T17:36:23;2024-09-18T05:04:02;true
3;2024-09-18T00:21:31;2024-09-17T20:03:39;false
4;2024-09-17T18:51:08;2024-09-17T23:24:59;true
5;2024-09-17T12:50:04;2024-09-18T05:47:58;true
6;2024-09-17T21:51:33;2024-09-18T11:15:53;true
7;2024-09-17T17:28:32;2024-09-17T12:46:49;false
8;2024-09-18T10:00:49;2024-09-17T13:38:59;false
9;2024-09-18T06:05:31;2024-09-17T23:52:12;true
10;2024-09-18T11:50:44;2024-09-17T15:28:41;true
