id;fecha_cita;fecha_fin_cita;estado;notas
1;2024-09-18T00:52:41;2024-09-17T17:28:16;CANCELADA;viral Buckinghamshire
2;2024-09-18T07:23:23;2024-09-18T08:11:23;PENDIENTE;Algodón Blanco secundaria
3;2024-09-18T03:31:51;2024-09-18T06:06:37;CONFIRMADA;Sopa implementación
4;2024-09-18T04:59:58;2024-09-17T15:39:54;OTRO;Perseverando
5;2024-09-17T22:41:23;2024-09-17T18:39:58;PENDIENTE;synthesize Rústico Arquitecto
6;2024-09-17T20:30:12;2024-09-18T10:05:00;PENDIENTE;index Canarias
7;2024-09-17T14:25:29;2024-09-18T11:23:12;OTRO;ADP homogénea
8;2024-09-18T04:23:38;2024-09-17T12:50:46;CANCELADA;Camiseta software Granito
9;2024-09-18T11:15:23;2024-09-17T22:47:16;PAGADA;Avon Global
10;2024-09-18T03:52:05;2024-09-17T17:51:39;OTRO;microchip mediante Azul
