id;nombre;nit;direccion;telefono;correo_electronico
1;Omani;69850;Bedfordshire Rústico;Ruble;global matrix
2;Borders transmit;99192;Berkshire;Singapore Pequeño;Corea Usabilidad Heredado
3;mesh invoice;74778;hacking deposit;innovadora;port target Queso
4;connecting driver;65886;hack USB;Gorro Extremadura Hormigon;Amigable connecting
5;Masía Violeta Música;16289;Bahamas panel driver;Algodón;Buckinghamshire cross-platform withdrawal
6;bluetooth synthesizing;66616;Mejorado Ergonómico Account;Blanco Investment Toallas;vortals
7;capacidad Enfocado;41416;haptic;Pasaje;Cambridgeshire Muelle
8;Rampa COM;49892;Zimbabwe;Loan Negro Fantástico;navigating Eslovaquia Castilla-La
9;Práctico Senegal withdrawal;90593;Lari;Account payment;withdrawal
10;Metal programming;78186;Papelería Borders interfaces;metódica Re-contextualizado;overriding Creativo Configuración
