id;nombre;descripcion;url_imagen
1;Cine transmitter Centrado;Bedfordshire payment Savings;Bolivia Lanka
2;Verde capacitor;Urbanización markets Zapatos;e-tailers groupware Loan
3;País sensor software;reboot Belice;Andalucía
4;haptic;world-class;software payment
5;Increible;SSL real Salchichas;Mascotas PNG
6;Gorro Galicia;AI;Datos bluetooth portals
7;TCP;Loan;Hungria
8;vertical;Región Operaciones Web;Gris
9;intermedia program;Canada Som;known Pelota Amarillo
10;Hormigon Compartible parsing;array;colaboración Humano Vasco
