id;monto;fecha_pago;metodo_pago;estado
1;36922;2024-09-17T19:54:19;EFECTIVO;PNG redundant
2;56215;2024-09-17T19:40:17;EFECTIVO;Fácil política
3;27580;2024-09-17T21:57:49;TRANSFERENCIA;Azul generate
4;85693;2024-09-17T12:06:57;EFECTIVO;moderador Caserio Bacon
5;93590;2024-09-17T22:59:06;EFECTIVO;Hormigon Sabroso
6;78428;2024-09-18T04:32:24;OTRO;Facilitador
7;15290;2024-09-18T09:01:45;EFECTIVO;Granito Ladrillo
8;1092;2024-09-17T18:04:44;OTRO;capacidad
9;65140;2024-09-17T20:09:49;OTRO;cross-media
10;35728;2024-09-18T09:03:50;OTRO;COM Tailandia Granito
