id;nombre;descripcion;porcentaje_descuento;fecha_inicio;fecha_fin;tipo_promocion
1;up;Sorprendente;87930;2024-09-18T04:15:50;2024-09-18T08:52:44;connecting
2;Hogar USB;JBOD Algodón Genérico;41151;2024-09-18T01:44:11;2024-09-18T11:28:50;multi-byte Pelota Aragón
3;Riera functionalities;compressing card Artesanal;5372;2024-09-18T11:15:27;2024-09-18T00:39:07;Guapa IB de
4;Gorro Borders;Guapa B2C Unidos;83293;2024-09-17T23:36:48;2024-09-18T08:52:40;Borders
5;Loan;estable;71949;2024-09-18T01:46:04;2024-09-17T20:08:07;encriptar
6;Granito;THX Versatil Gerente;86594;2024-09-17T13:59:58;2024-09-18T01:43:33;Apartamento 1080p Factores
7;deposit redundant;payment;20573;2024-09-17T18:27:15;2024-09-17T14:36:53;Castilla Refinado
8;invoice Aragón;multi-byte;73551;2024-09-17T18:11:39;2024-09-18T01:40:22;Account discreta
9;Marketing;Baleares Ucrania;86863;2024-09-18T05:35:44;2024-09-18T04:03:05;state
10;RSS neural Central;Nacional Violeta;4092;2024-09-17T15:50:05;2024-09-17T20:51:31;Morado
