id;valor_total_servicio;descripcion;fecha_inicio;fecha_fin
1;60693;applications Expandido;2024-09-18T00:10:16;2024-09-18T09:47:40
2;88110;Toallas;2024-09-18T09:34:14;2024-09-17T19:20:54
3;78101;Coche Explanada;2024-09-17T18:29:30;2024-09-18T05:03:40
4;6118;Ensalada canal;2024-09-17T23:42:43;2024-09-18T11:17:29
5;62504;sistémica;2024-09-17T13:30:40;2024-09-18T09:33:35
6;17188;envisioneer;2024-09-17T13:16:14;2024-09-17T14:21:25
7;67307;mediante La;2024-09-17T21:51:59;2024-09-18T10:18:01
8;67227;Pescado;2024-09-18T10:29:23;2024-09-18T11:41:43
9;38047;Violeta Ergonómico Realineado;2024-09-18T00:10:35;2024-09-17T13:39:18
10;84535;morph Cantabria;2024-09-17T21:10:20;2024-09-18T07:23:51
